input,output,split
07 + 14 = ???,07 + 14 = 021,train
92 + 39 = ???,92 + 39 = 131,train
79 + 49 = ???,79 + 49 = 128,train
77 + 32 = ???,77 + 32 = 109,train
26 + 54 = ???,26 + 54 = 080,train
55 + 89 = ???,55 + 89 = 144,train
24 + 37 = ???,24 + 37 = 061,train
44 + 87 = ???,44 + 87 = 131,train
25 + 13 = ???,25 + 13 = 038,train
76 + 34 = ???,76 + 34 = 110,train
51 + 66 = ???,51 + 66 = 117,train
83 + 88 = ???,83 + 88 = 171,train
16 + 11 = ???,16 + 11 = 027,train
27 + 34 = ???,27 + 34 = 061,train
70 + 34 = ???,70 + 34 = 104,train
94 + 23 = ???,94 + 23 = 117,train
69 + 15 = ???,69 + 15 = 084,train
59 + 31 = ???,59 + 31 = 090,train
10 + 78 = ???,10 + 78 = 088,train
96 + 09 = ???,96 + 09 = 105,train
65 + 81 = ???,65 + 81 = 146,train
25 + 81 = ???,25 + 81 = 106,train
84 + 42 = ???,84 + 42 = 126,train
75 + 82 = ???,75 + 82 = 157,train
62 + 95 = ???,62 + 95 = 157,train
85 + 88 = ???,85 + 88 = 173,train
25 + 10 = ???,25 + 10 = 035,train
98 + 65 = ???,98 + 65 = 163,train
77 + 82 = ???,77 + 82 = 159,train
58 + 31 = ???,58 + 31 = 089,train
11 + 06 = ???,11 + 06 = 017,train
86 + 86 = ???,86 + 86 = 172,train
72 + 05 = ???,72 + 05 = 077,train
87 + 95 = ???,87 + 95 = 182,train
81 + 12 = ???,81 + 12 = 093,train
95 + 24 = ???,95 + 24 = 119,train
10 + 93 = ???,10 + 93 = 103,train
71 + 96 = ???,71 + 96 = 167,train
75 + 42 = ???,75 + 42 = 117,train
79 + 64 = ???,79 + 64 = 143,train
87 + 90 = ???,87 + 90 = 177,train
29 + 68 = ???,29 + 68 = 097,train
23 + 50 = ???,23 + 50 = 073,train
98 + 61 = ???,98 + 61 = 159,train
74 + 36 = ???,74 + 36 = 110,train
85 + 60 = ???,85 + 60 = 145,train
43 + 26 = ???,43 + 26 = 069,train
06 + 14 = ???,06 + 14 = 020,train
47 + 84 = ???,47 + 84 = 131,train
61 + 87 = ???,61 + 87 = 148,train
97 + 58 = ???,97 + 58 = 155,train
32 + 94 = ???,32 + 94 = 126,train
99 + 96 = ???,99 + 96 = 195,train
70 + 52 = ???,70 + 52 = 122,train
76 + 36 = ???,76 + 36 = 112,train
23 + 03 = ???,23 + 03 = 026,train
64 + 19 = ???,64 + 19 = 083,train
74 + 43 = ???,74 + 43 = 117,train
49 + 96 = ???,49 + 96 = 145,train
05 + 01 = ???,05 + 01 = 006,train
47 + 07 = ???,47 + 07 = 054,train
56 + 92 = ???,56 + 92 = 148,train
73 + 34 = ???,73 + 34 = 107,train
73 + 71 = ???,73 + 71 = 144,train
42 + 73 = ???,42 + 73 = 115,train
00 + 43 = ???,00 + 43 = 043,train
58 + 39 = ???,58 + 39 = 097,train
96 + 04 = ???,96 + 04 = 100,train
46 + 30 = ???,46 + 30 = 076,train
33 + 75 = ???,33 + 75 = 108,train
46 + 96 = ???,46 + 96 = 142,train
27 + 05 = ???,27 + 05 = 032,train
62 + 65 = ???,62 + 65 = 127,train
90 + 40 = ???,90 + 40 = 130,train
52 + 42 = ???,52 + 42 = 094,train
77 + 62 = ???,77 + 62 = 139,train
06 + 09 = ???,06 + 09 = 015,train
53 + 17 = ???,53 + 17 = 070,train
96 + 05 = ???,96 + 05 = 101,train
64 + 27 = ???,64 + 27 = 091,train
81 + 79 = ???,81 + 79 = 160,train
00 + 87 = ???,00 + 87 = 087,train
75 + 23 = ???,75 + 23 = 098,train
77 + 77 = ???,77 + 77 = 154,train
40 + 27 = ???,40 + 27 = 067,train
20 + 17 = ???,20 + 17 = 037,train
00 + 22 = ???,00 + 22 = 022,train
25 + 84 = ???,25 + 84 = 109,train
72 + 93 = ???,72 + 93 = 165,train
36 + 38 = ???,36 + 38 = 074,train
02 + 44 = ???,02 + 44 = 046,train
04 + 55 = ???,04 + 55 = 059,train
13 + 05 = ???,13 + 05 = 018,train
23 + 42 = ???,23 + 42 = 065,train
74 + 66 = ???,74 + 66 = 140,train
38 + 71 = ???,38 + 71 = 109,train
88 + 65 = ???,88 + 65 = 153,train
92 + 78 = ???,92 + 78 = 170,train
83 + 27 = ???,83 + 27 = 110,train
44 + 61 = ???,44 + 61 = 105,train
43 + 87 = ???,43 + 87 = 130,train
16 + 79 = ???,16 + 79 = 095,train
67 + 93 = ???,67 + 93 = 160,train
70 + 14 = ???,70 + 14 = 084,train
35 + 36 = ???,35 + 36 = 071,train
17 + 38 = ???,17 + 38 = 055,train
72 + 06 = ???,72 + 06 = 078,train
63 + 92 = ???,63 + 92 = 155,train
17 + 30 = ???,17 + 30 = 047,train
52 + 17 = ???,52 + 17 = 069,train
80 + 43 = ???,80 + 43 = 123,train
36 + 74 = ???,36 + 74 = 110,train
26 + 62 = ???,26 + 62 = 088,train
54 + 06 = ???,54 + 06 = 060,train
55 + 59 = ???,55 + 59 = 114,train
67 + 00 = ???,67 + 00 = 067,train
83 + 35 = ???,83 + 35 = 118,train
53 + 74 = ???,53 + 74 = 127,train
57 + 55 = ???,57 + 55 = 112,train
80 + 70 = ???,80 + 70 = 150,train
13 + 85 = ???,13 + 85 = 098,train
37 + 64 = ???,37 + 64 = 101,train
49 + 79 = ???,49 + 79 = 128,train
86 + 08 = ???,86 + 08 = 094,train
46 + 70 = ???,46 + 70 = 116,train
51 + 63 = ???,51 + 63 = 114,train
60 + 10 = ???,60 + 10 = 070,train
05 + 46 = ???,05 + 46 = 051,train
29 + 72 = ???,29 + 72 = 101,train
79 + 60 = ???,79 + 60 = 139,train
88 + 10 = ???,88 + 10 = 098,train
59 + 10 = ???,59 + 10 = 069,train
69 + 79 = ???,69 + 79 = 148,train
03 + 35 = ???,03 + 35 = 038,train
68 + 48 = ???,68 + 48 = 116,train
14 + 59 = ???,14 + 59 = 073,train
28 + 72 = ???,28 + 72 = 100,train
03 + 33 = ???,03 + 33 = 036,train
58 + 16 = ???,58 + 16 = 074,train
38 + 77 = ???,38 + 77 = 115,train
88 + 91 = ???,88 + 91 = 179,train
85 + 55 = ???,85 + 55 = 140,train
47 + 51 = ???,47 + 51 = 098,train
47 + 86 = ???,47 + 86 = 133,train
55 + 13 = ???,55 + 13 = 068,train
14 + 70 = ???,14 + 70 = 084,train
88 + 90 = ???,88 + 90 = 178,train
96 + 12 = ???,96 + 12 = 108,train
24 + 70 = ???,24 + 70 = 094,train
46 + 26 = ???,46 + 26 = 072,train
97 + 94 = ???,97 + 94 = 191,train
96 + 48 = ???,96 + 48 = 144,train
15 + 67 = ???,15 + 67 = 082,train
04 + 70 = ???,04 + 70 = 074,train
18 + 43 = ???,18 + 43 = 061,train
76 + 63 = ???,76 + 63 = 139,train
12 + 98 = ???,12 + 98 = 110,train
20 + 82 = ???,20 + 82 = 102,train
92 + 71 = ???,92 + 71 = 163,train
06 + 72 = ???,06 + 72 = 078,train
30 + 30 = ???,30 + 30 = 060,train
56 + 03 = ???,56 + 03 = 059,train
86 + 06 = ???,86 + 06 = 092,train
35 + 42 = ???,35 + 42 = 077,train
83 + 97 = ???,83 + 97 = 180,train
73 + 75 = ???,73 + 75 = 148,train
89 + 43 = ???,89 + 43 = 132,train
00 + 06 = ???,00 + 06 = 006,train
29 + 74 = ???,29 + 74 = 103,train
70 + 09 = ???,70 + 09 = 079,train
40 + 30 = ???,40 + 30 = 070,train
55 + 74 = ???,55 + 74 = 129,train
91 + 27 = ???,91 + 27 = 118,train
62 + 97 = ???,62 + 97 = 159,train
95 + 50 = ???,95 + 50 = 145,train
69 + 20 = ???,69 + 20 = 089,train
37 + 05 = ???,37 + 05 = 042,train
19 + 35 = ???,19 + 35 = 054,train
71 + 77 = ???,71 + 77 = 148,train
42 + 70 = ???,42 + 70 = 112,train
63 + 49 = ???,63 + 49 = 112,train
06 + 11 = ???,06 + 11 = 017,train
24 + 14 = ???,24 + 14 = 038,train
52 + 55 = ???,52 + 55 = 107,train
19 + 82 = ???,19 + 82 = 101,train
82 + 73 = ???,82 + 73 = 155,train
61 + 12 = ???,61 + 12 = 073,train
47 + 59 = ???,47 + 59 = 106,train
89 + 03 = ???,89 + 03 = 092,train
58 + 59 = ???,58 + 59 = 117,train
01 + 02 = ???,01 + 02 = 003,train
91 + 77 = ???,91 + 77 = 168,train
00 + 85 = ???,00 + 85 = 085,train
71 + 39 = ???,71 + 39 = 110,train
10 + 12 = ???,10 + 12 = 022,train
66 + 83 = ???,66 + 83 = 149,train
05 + 90 = ???,05 + 90 = 095,train
51 + 53 = ???,51 + 53 = 104,train
86 + 03 = ???,86 + 03 = 089,train
44 + 71 = ???,44 + 71 = 115,train
01 + 78 = ???,01 + 78 = 079,train
86 + 22 = ???,86 + 22 = 108,train
94 + 87 = ???,94 + 87 = 181,train
32 + 04 = ???,32 + 04 = 036,train
92 + 24 = ???,92 + 24 = 116,train
45 + 94 = ???,45 + 94 = 139,train
25 + 73 = ???,25 + 73 = 098,train
98 + 15 = ???,98 + 15 = 113,train
60 + 58 = ???,60 + 58 = 118,train
16 + 66 = ???,16 + 66 = 082,train
24 + 62 = ???,24 + 62 = 086,train
34 + 38 = ???,34 + 38 = 072,train
80 + 97 = ???,80 + 97 = 177,train
03 + 62 = ???,03 + 62 = 065,train
86 + 97 = ???,86 + 97 = 183,train
65 + 70 = ???,65 + 70 = 135,train
04 + 53 = ???,04 + 53 = 057,train
71 + 56 = ???,71 + 56 = 127,train
26 + 93 = ???,26 + 93 = 119,train
80 + 95 = ???,80 + 95 = 175,train
55 + 47 = ???,55 + 47 = 102,train
51 + 76 = ???,51 + 76 = 127,train
03 + 07 = ???,03 + 07 = 010,train
93 + 24 = ???,93 + 24 = 117,train
10 + 73 = ???,10 + 73 = 083,train
94 + 25 = ???,94 + 25 = 119,train
33 + 96 = ???,33 + 96 = 129,train
93 + 28 = ???,93 + 28 = 121,train
30 + 31 = ???,30 + 31 = 061,train
16 + 03 = ???,16 + 03 = 019,train
15 + 84 = ???,15 + 84 = 099,train
08 + 50 = ???,08 + 50 = 058,train
86 + 51 = ???,86 + 51 = 137,train
47 + 95 = ???,47 + 95 = 142,train
96 + 92 = ???,96 + 92 = 188,train
07 + 59 = ???,07 + 59 = 066,train
75 + 60 = ???,75 + 60 = 135,train
16 + 57 = ???,16 + 57 = 073,train
52 + 19 = ???,52 + 19 = 071,train
55 + 30 = ???,55 + 30 = 085,train
49 + 43 = ???,49 + 43 = 092,train
38 + 28 = ???,38 + 28 = 066,train
11 + 16 = ???,11 + 16 = 027,train
23 + 53 = ???,23 + 53 = 076,train
93 + 58 = ???,93 + 58 = 151,train
54 + 54 = ???,54 + 54 = 108,train
28 + 10 = ???,28 + 10 = 038,train
20 + 71 = ???,20 + 71 = 091,train
71 + 51 = ???,71 + 51 = 122,train
82 + 14 = ???,82 + 14 = 096,train
21 + 40 = ???,21 + 40 = 061,train
89 + 68 = ???,89 + 68 = 157,train
80 + 76 = ???,80 + 76 = 156,train
89 + 96 = ???,89 + 96 = 185,train
22 + 43 = ???,22 + 43 = 065,train
26 + 65 = ???,26 + 65 = 091,train
64 + 28 = ???,64 + 28 = 092,train
42 + 45 = ???,42 + 45 = 087,train
31 + 71 = ???,31 + 71 = 102,train
20 + 63 = ???,20 + 63 = 083,train
91 + 57 = ???,91 + 57 = 148,train
26 + 36 = ???,26 + 36 = 062,train
44 + 62 = ???,44 + 62 = 106,train
96 + 32 = ???,96 + 32 = 128,train
12 + 27 = ???,12 + 27 = 039,train
18 + 88 = ???,18 + 88 = 106,train
41 + 10 = ???,41 + 10 = 051,train
60 + 78 = ???,60 + 78 = 138,train
64 + 50 = ???,64 + 50 = 114,train
84 + 08 = ???,84 + 08 = 092,train
78 + 73 = ???,78 + 73 = 151,train
44 + 24 = ???,44 + 24 = 068,train
52 + 48 = ???,52 + 48 = 100,train
89 + 21 = ???,89 + 21 = 110,train
04 + 30 = ???,04 + 30 = 034,train
14 + 13 = ???,14 + 13 = 027,train
03 + 22 = ???,03 + 22 = 025,train
44 + 69 = ???,44 + 69 = 113,train
45 + 09 = ???,45 + 09 = 054,train
14 + 88 = ???,14 + 88 = 102,train
36 + 41 = ???,36 + 41 = 077,train
74 + 33 = ???,74 + 33 = 107,train
27 + 40 = ???,27 + 40 = 067,train
41 + 12 = ???,41 + 12 = 053,train
31 + 70 = ???,31 + 70 = 101,train
90 + 48 = ???,90 + 48 = 138,train
48 + 75 = ???,48 + 75 = 123,train
93 + 27 = ???,93 + 27 = 120,train
85 + 54 = ???,85 + 54 = 139,train
93 + 08 = ???,93 + 08 = 101,train
55 + 63 = ???,55 + 63 = 118,train
53 + 85 = ???,53 + 85 = 138,train
31 + 74 = ???,31 + 74 = 105,train
48 + 96 = ???,48 + 96 = 144,train
47 + 60 = ???,47 + 60 = 107,train
22 + 09 = ???,22 + 09 = 031,train
37 + 49 = ???,37 + 49 = 086,train
97 + 20 = ???,97 + 20 = 117,train
75 + 70 = ???,75 + 70 = 145,train
38 + 68 = ???,38 + 68 = 106,train
27 + 08 = ???,27 + 08 = 035,train
48 + 40 = ???,48 + 40 = 088,train
36 + 08 = ???,36 + 08 = 044,train
36 + 34 = ???,36 + 34 = 070,train
48 + 23 = ???,48 + 23 = 071,train
90 + 34 = ???,90 + 34 = 124,train
02 + 88 = ???,02 + 88 = 090,train
40 + 21 = ???,40 + 21 = 061,train
50 + 34 = ???,50 + 34 = 084,train
43 + 37 = ???,43 + 37 = 080,train
84 + 45 = ???,84 + 45 = 129,train
21 + 04 = ???,21 + 04 = 025,train
61 + 74 = ???,61 + 74 = 135,train
46 + 18 = ???,46 + 18 = 064,train
86 + 14 = ???,86 + 14 = 100,train
53 + 69 = ???,53 + 69 = 122,train
25 + 06 = ???,25 + 06 = 031,train
12 + 81 = ???,12 + 81 = 093,train
13 + 63 = ???,13 + 63 = 076,train
33 + 41 = ???,33 + 41 = 074,train
53 + 68 = ???,53 + 68 = 121,train
32 + 70 = ???,32 + 70 = 102,train
46 + 77 = ???,46 + 77 = 123,train
82 + 56 = ???,82 + 56 = 138,train
62 + 43 = ???,62 + 43 = 105,train
68 + 94 = ???,68 + 94 = 162,train
36 + 05 = ???,36 + 05 = 041,train
86 + 93 = ???,86 + 93 = 179,train
08 + 75 = ???,08 + 75 = 083,train
36 + 62 = ???,36 + 62 = 098,train
68 + 95 = ???,68 + 95 = 163,train
46 + 39 = ???,46 + 39 = 085,train
02 + 49 = ???,02 + 49 = 051,train
27 + 55 = ???,27 + 55 = 082,train
30 + 03 = ???,30 + 03 = 033,train
53 + 71 = ???,53 + 71 = 124,train
33 + 91 = ???,33 + 91 = 124,train
67 + 05 = ???,67 + 05 = 072,train
61 + 92 = ???,61 + 92 = 153,train
18 + 27 = ???,18 + 27 = 045,train
54 + 21 = ???,54 + 21 = 075,train
74 + 47 = ???,74 + 47 = 121,train
66 + 17 = ???,66 + 17 = 083,train
11 + 93 = ???,11 + 93 = 104,train
17 + 28 = ???,17 + 28 = 045,train
41 + 64 = ???,41 + 64 = 105,train
08 + 51 = ???,08 + 51 = 059,train
43 + 98 = ???,43 + 98 = 141,train
52 + 43 = ???,52 + 43 = 095,train
96 + 27 = ???,96 + 27 = 123,train
79 + 55 = ???,79 + 55 = 134,train
65 + 43 = ???,65 + 43 = 108,train
05 + 94 = ???,05 + 94 = 099,train
55 + 40 = ???,55 + 40 = 095,train
63 + 12 = ???,63 + 12 = 075,train
73 + 66 = ???,73 + 66 = 139,train
87 + 36 = ???,87 + 36 = 123,train
64 + 12 = ???,64 + 12 = 076,train
73 + 78 = ???,73 + 78 = 151,train
44 + 98 = ???,44 + 98 = 142,train
12 + 14 = ???,12 + 14 = 026,train
23 + 99 = ???,23 + 99 = 122,train
74 + 78 = ???,74 + 78 = 152,train
23 + 34 = ???,23 + 34 = 057,train
78 + 55 = ???,78 + 55 = 133,train
27 + 45 = ???,27 + 45 = 072,train
32 + 33 = ???,32 + 33 = 065,train
07 + 40 = ???,07 + 40 = 047,train
31 + 73 = ???,31 + 73 = 104,train
49 + 15 = ???,49 + 15 = 064,train
20 + 56 = ???,20 + 56 = 076,train
56 + 71 = ???,56 + 71 = 127,train
68 + 54 = ???,68 + 54 = 122,train
31 + 66 = ???,31 + 66 = 097,train
78 + 98 = ???,78 + 98 = 176,train
75 + 92 = ???,75 + 92 = 167,train
62 + 14 = ???,62 + 14 = 076,train
01 + 82 = ???,01 + 82 = 083,train
31 + 10 = ???,31 + 10 = 041,train
95 + 75 = ???,95 + 75 = 170,train
60 + 49 = ???,60 + 49 = 109,train
62 + 72 = ???,62 + 72 = 134,train
91 + 12 = ???,91 + 12 = 103,train
61 + 64 = ???,61 + 64 = 125,train
50 + 68 = ???,50 + 68 = 118,train
34 + 28 = ???,34 + 28 = 062,train
50 + 33 = ???,50 + 33 = 083,train
11 + 77 = ???,11 + 77 = 088,train
50 + 24 = ???,50 + 24 = 074,train
99 + 60 = ???,99 + 60 = 159,train
05 + 21 = ???,05 + 21 = 026,train
20 + 80 = ???,20 + 80 = 100,train
27 + 44 = ???,27 + 44 = 071,train
20 + 32 = ???,20 + 32 = 052,train
42 + 91 = ???,42 + 91 = 133,train
87 + 60 = ???,87 + 60 = 147,train
38 + 96 = ???,38 + 96 = 134,train
96 + 46 = ???,96 + 46 = 142,train
06 + 82 = ???,06 + 82 = 088,train
37 + 12 = ???,37 + 12 = 049,train
19 + 56 = ???,19 + 56 = 075,train
77 + 12 = ???,77 + 12 = 089,train
75 + 34 = ???,75 + 34 = 109,train
96 + 86 = ???,96 + 86 = 182,train
74 + 73 = ???,74 + 73 = 147,train
06 + 17 = ???,06 + 17 = 023,train
50 + 07 = ???,50 + 07 = 057,train
77 + 22 = ???,77 + 22 = 099,train
08 + 95 = ???,08 + 95 = 103,train
83 + 51 = ???,83 + 51 = 134,train
97 + 91 = ???,97 + 91 = 188,train
14 + 79 = ???,14 + 79 = 093,train
66 + 91 = ???,66 + 91 = 157,train
32 + 91 = ???,32 + 91 = 123,train
86 + 18 = ???,86 + 18 = 104,train
43 + 08 = ???,43 + 08 = 051,train
85 + 52 = ???,85 + 52 = 137,train
27 + 26 = ???,27 + 26 = 053,train
89 + 40 = ???,89 + 40 = 129,train
63 + 90 = ???,63 + 90 = 153,train
30 + 15 = ???,30 + 15 = 045,train
98 + 39 = ???,98 + 39 = 137,train
07 + 07 = ???,07 + 07 = 014,train
97 + 68 = ???,97 + 68 = 165,train
62 + 28 = ???,62 + 28 = 090,train
35 + 33 = ???,35 + 33 = 068,train
53 + 14 = ???,53 + 14 = 067,train
99 + 12 = ???,99 + 12 = 111,train
12 + 73 = ???,12 + 73 = 085,train
96 + 55 = ???,96 + 55 = 151,train
21 + 28 = ???,21 + 28 = 049,train
00 + 64 = ???,00 + 64 = 064,train
73 + 04 = ???,73 + 04 = 077,train
73 + 46 = ???,73 + 46 = 119,train
01 + 96 = ???,01 + 96 = 097,train
28 + 18 = ???,28 + 18 = 046,train
95 + 99 = ???,95 + 99 = 194,train
74 + 13 = ???,74 + 13 = 087,train
95 + 89 = ???,95 + 89 = 184,train
38 + 54 = ???,38 + 54 = 092,train
03 + 49 = ???,03 + 49 = 052,train
34 + 30 = ???,34 + 30 = 064,train
49 + 89 = ???,49 + 89 = 138,train
10 + 47 = ???,10 + 47 = 057,train
77 + 30 = ???,77 + 30 = 107,train
93 + 06 = ???,93 + 06 = 099,train
00 + 80 = ???,00 + 80 = 080,train
06 + 50 = ???,06 + 50 = 056,train
62 + 24 = ???,62 + 24 = 086,train
76 + 99 = ???,76 + 99 = 175,train
84 + 73 = ???,84 + 73 = 157,train
80 + 89 = ???,80 + 89 = 169,train
00 + 91 = ???,00 + 91 = 091,train
08 + 98 = ???,08 + 98 = 106,train
71 + 12 = ???,71 + 12 = 083,train
79 + 73 = ???,79 + 73 = 152,train
82 + 48 = ???,82 + 48 = 130,train
87 + 26 = ???,87 + 26 = 113,train
11 + 27 = ???,11 + 27 = 038,train
90 + 28 = ???,90 + 28 = 118,train
97 + 23 = ???,97 + 23 = 120,train
47 + 46 = ???,47 + 46 = 093,train
51 + 13 = ???,51 + 13 = 064,train
00 + 89 = ???,00 + 89 = 089,train
75 + 35 = ???,75 + 35 = 110,train
75 + 31 = ???,75 + 31 = 106,train
13 + 33 = ???,13 + 33 = 046,train
73 + 76 = ???,73 + 76 = 149,train
43 + 46 = ???,43 + 46 = 089,train
00 + 00 = ???,00 + 00 = 000,train
37 + 96 = ???,37 + 96 = 133,train
14 + 57 = ???,14 + 57 = 071,train
06 + 41 = ???,06 + 41 = 047,train
85 + 62 = ???,85 + 62 = 147,train
36 + 94 = ???,36 + 94 = 130,train
76 + 32 = ???,76 + 32 = 108,train
76 + 40 = ???,76 + 40 = 116,train
67 + 42 = ???,67 + 42 = 109,train
51 + 26 = ???,51 + 26 = 077,train
39 + 16 = ???,39 + 16 = 055,train
88 + 22 = ???,88 + 22 = 110,train
86 + 90 = ???,86 + 90 = 176,train
07 + 81 = ???,07 + 81 = 088,train
48 + 83 = ???,48 + 83 = 131,train
13 + 44 = ???,13 + 44 = 057,train
94 + 94 = ???,94 + 94 = 188,train
80 + 98 = ???,80 + 98 = 178,train
52 + 32 = ???,52 + 32 = 084,train
51 + 65 = ???,51 + 65 = 116,train
90 + 05 = ???,90 + 05 = 095,train
68 + 22 = ???,68 + 22 = 090,train
42 + 15 = ???,42 + 15 = 057,train
85 + 00 = ???,85 + 00 = 085,train
89 + 18 = ???,89 + 18 = 107,train
11 + 95 = ???,11 + 95 = 106,train
12 + 36 = ???,12 + 36 = 048,train
21 + 44 = ???,21 + 44 = 065,train
03 + 68 = ???,03 + 68 = 071,train
56 + 31 = ???,56 + 31 = 087,train
45 + 71 = ???,45 + 71 = 116,train
13 + 18 = ???,13 + 18 = 031,train
02 + 99 = ???,02 + 99 = 101,train
09 + 50 = ???,09 + 50 = 059,train
14 + 87 = ???,14 + 87 = 101,train
41 + 61 = ???,41 + 61 = 102,train
91 + 71 = ???,91 + 71 = 162,train
55 + 96 = ???,55 + 96 = 151,train
93 + 68 = ???,93 + 68 = 161,train
70 + 51 = ???,70 + 51 = 121,train
20 + 48 = ???,20 + 48 = 068,train
60 + 07 = ???,60 + 07 = 067,train
08 + 35 = ???,08 + 35 = 043,train
90 + 72 = ???,90 + 72 = 162,train
60 + 57 = ???,60 + 57 = 117,train
77 + 20 = ???,77 + 20 = 097,train
56 + 86 = ???,56 + 86 = 142,train
25 + 05 = ???,25 + 05 = 030,train
03 + 11 = ???,03 + 11 = 014,train
64 + 37 = ???,64 + 37 = 101,train
99 + 24 = ???,99 + 24 = 123,train
65 + 23 = ???,65 + 23 = 088,train
45 + 47 = ???,45 + 47 = 092,train
91 + 52 = ???,91 + 52 = 143,train
68 + 26 = ???,68 + 26 = 094,train
50 + 50 = ???,50 + 50 = 100,train
90 + 22 = ???,90 + 22 = 112,train
28 + 47 = ???,28 + 47 = 075,train
67 + 69 = ???,67 + 69 = 136,train
86 + 54 = ???,86 + 54 = 140,train
03 + 32 = ???,03 + 32 = 035,train
19 + 81 = ???,19 + 81 = 100,train
14 + 84 = ???,14 + 84 = 098,train
31 + 21 = ???,31 + 21 = 052,train
81 + 37 = ???,81 + 37 = 118,train
62 + 49 = ???,62 + 49 = 111,train
66 + 16 = ???,66 + 16 = 082,train
41 + 65 = ???,41 + 65 = 106,train
72 + 46 = ???,72 + 46 = 118,train
22 + 77 = ???,22 + 77 = 099,train
56 + 46 = ???,56 + 46 = 102,train
54 + 13 = ???,54 + 13 = 067,train
60 + 37 = ???,60 + 37 = 097,train
72 + 83 = ???,72 + 83 = 155,train
74 + 03 = ???,74 + 03 = 077,train
35 + 86 = ???,35 + 86 = 121,train
31 + 18 = ???,31 + 18 = 049,train
61 + 09 = ???,61 + 09 = 070,train
73 + 37 = ???,73 + 37 = 110,train
24 + 03 = ???,24 + 03 = 027,train
76 + 12 = ???,76 + 12 = 088,train
60 + 23 = ???,60 + 23 = 083,train
78 + 36 = ???,78 + 36 = 114,train
14 + 26 = ???,14 + 26 = 040,train
53 + 44 = ???,53 + 44 = 097,train
91 + 74 = ???,91 + 74 = 165,train
21 + 82 = ???,21 + 82 = 103,train
34 + 81 = ???,34 + 81 = 115,train
22 + 35 = ???,22 + 35 = 057,train
72 + 90 = ???,72 + 90 = 162,train
17 + 01 = ???,17 + 01 = 018,train
02 + 86 = ???,02 + 86 = 088,train
81 + 04 = ???,81 + 04 = 085,train
04 + 87 = ???,04 + 87 = 091,train
08 + 08 = ???,08 + 08 = 016,train
62 + 38 = ???,62 + 38 = 100,train
90 + 13 = ???,90 + 13 = 103,train
43 + 09 = ???,43 + 09 = 052,train
80 + 34 = ???,80 + 34 = 114,train
09 + 39 = ???,09 + 39 = 048,train
38 + 51 = ???,38 + 51 = 089,train
81 + 66 = ???,81 + 66 = 147,train
97 + 18 = ???,97 + 18 = 115,train
61 + 41 = ???,61 + 41 = 102,train
81 + 29 = ???,81 + 29 = 110,train
96 + 67 = ???,96 + 67 = 163,train
50 + 03 = ???,50 + 03 = 053,train
93 + 14 = ???,93 + 14 = 107,train
62 + 17 = ???,62 + 17 = 079,train
25 + 58 = ???,25 + 58 = 083,train
81 + 20 = ???,81 + 20 = 101,train
78 + 56 = ???,78 + 56 = 134,train
93 + 71 = ???,93 + 71 = 164,train
46 + 46 = ???,46 + 46 = 092,train
25 + 38 = ???,25 + 38 = 063,train
06 + 04 = ???,06 + 04 = 010,train
30 + 56 = ???,30 + 56 = 086,train
23 + 32 = ???,23 + 32 = 055,train
35 + 50 = ???,35 + 50 = 085,train
14 + 19 = ???,14 + 19 = 033,train
37 + 80 = ???,37 + 80 = 117,train
47 + 03 = ???,47 + 03 = 050,train
84 + 19 = ???,84 + 19 = 103,train
43 + 23 = ???,43 + 23 = 066,train
03 + 42 = ???,03 + 42 = 045,train
49 + 28 = ???,49 + 28 = 077,train
66 + 07 = ???,66 + 07 = 073,train
33 + 37 = ???,33 + 37 = 070,train
72 + 07 = ???,72 + 07 = 079,train
92 + 88 = ???,92 + 88 = 180,train
08 + 81 = ???,08 + 81 = 089,train
15 + 01 = ???,15 + 01 = 016,train
16 + 07 = ???,16 + 07 = 023,train
96 + 03 = ???,96 + 03 = 099,train
87 + 07 = ???,87 + 07 = 094,train
71 + 30 = ???,71 + 30 = 101,train
99 + 01 = ???,99 + 01 = 100,train
77 + 57 = ???,77 + 57 = 134,train
72 + 84 = ???,72 + 84 = 156,train
02 + 65 = ???,02 + 65 = 067,train
54 + 84 = ???,54 + 84 = 138,train
51 + 96 = ???,51 + 96 = 147,train
87 + 17 = ???,87 + 17 = 104,train
43 + 30 = ???,43 + 30 = 073,train
96 + 33 = ???,96 + 33 = 129,train
53 + 30 = ???,53 + 30 = 083,train
27 + 59 = ???,27 + 59 = 086,train
78 + 23 = ???,78 + 23 = 101,train
60 + 83 = ???,60 + 83 = 143,train
27 + 66 = ???,27 + 66 = 093,train
30 + 18 = ???,30 + 18 = 048,train
37 + 44 = ???,37 + 44 = 081,train
18 + 98 = ???,18 + 98 = 116,train
92 + 83 = ???,92 + 83 = 175,train
80 + 51 = ???,80 + 51 = 131,train
98 + 13 = ???,98 + 13 = 111,train
01 + 91 = ???,01 + 91 = 092,train
50 + 62 = ???,50 + 62 = 112,train
43 + 29 = ???,43 + 29 = 072,train
34 + 89 = ???,34 + 89 = 123,train
32 + 83 = ???,32 + 83 = 115,train
38 + 43 = ???,38 + 43 = 081,train
99 + 11 = ???,99 + 11 = 110,train
15 + 80 = ???,15 + 80 = 095,train
23 + 26 = ???,23 + 26 = 049,train
55 + 98 = ???,55 + 98 = 153,train
93 + 29 = ???,93 + 29 = 122,train
